RewardSize,AnimalResponse,ToneCloudDurSec,LickwrtTrialStart,ITIinseconds
2,2,0.594851287,0.57977535,14.3565
2,2,0.504873782,0.48705129,3.0937
1,0,6.04,6.78048855,14.6586
1,1,5.7,NaN,14.5745
1,0,3.54,5.60773917,2.836
1,0,1.54,1.91677497,2.57
1,0,0.22,1.10382294,2.734
1,0,4.72,6.71396187,2.732
1,0,9.58,12.10425612,3.4394
1,3,14,NaN,3.0498
1,1,1.76,NaN,2.672
1,1,8.52,NaN,2.9524
1,1,0.26,NaN,3.6318
1,1,5.04,NaN,3.312
1,1,1.26,NaN,2.6758
1,3,14,NaN,2.8936
1,1,3.04,NaN,2.858
1,1,3.48,NaN,2.5092
1,1,1.12,NaN,2.774
1,1,3.4,NaN,3.26
1,1,6.08,NaN,2.772
1,3,14,NaN,3.3314
1,1,4.5,NaN,2.9955
1,1,2.48,NaN,3.292
1,1,1.86,NaN,2.2157
1,3,14,NaN,3.0497
1,1,9.24,NaN,2.6556
1,1,3.38,NaN,2.9515
1,1,8.36,NaN,2.9497
1,1,10.32,NaN,2.3955
1,1,0.52,NaN,3.3753
1,1,2.42,NaN,2.9915
1,1,6.14,NaN,3.2737
1,3,14,NaN,2.914
1,1,2.84,NaN,2.61
1,0,1.18,1.63843614,2.614
1,0,4,4.51811481,3.0755
1,3,14,NaN,2.7713
1,1,1.22,NaN,4.9555
1,1,5.48,NaN,3.0517
1,1,2.32,NaN,3.0937
1,1,0.78,NaN,2.6136
1,3,14,NaN,2.7737
1,1,7.24,NaN,2.6937
1,1,7.7,NaN,3.1494
1,1,0.72,NaN,2.4341
1,1,2.06,NaN,2.3716
1,1,0.46,NaN,2.4974
1,1,1.44,NaN,2.5764
1,1,5.26,NaN,2.756
1,1,5.7,NaN,2.3779
1,1,0.7,NaN,3.4335
1,1,0.28,NaN,3.018
1,1,7.36,NaN,2.4941
1,1,8.96,NaN,2.8936
1,1,2.58,NaN,2.5498
1,1,1.34,NaN,2.4737
1,2,4.515871033,4.50514944,2.4961
1,0,0.32,0.4576209,2.7519
1,2,0.881779555,0.86877978,14.2343
1,1,3.72,NaN,3.212
1,1,3.3,NaN,14.5727
2,1,3.82,NaN,2.8897
2,1,4.28,NaN,2.6718
2,3,14,NaN,3.1375
2,1,3.08,NaN,2.9056
2,1,1.66,NaN,2.788
2,1,4,NaN,3.3756
2,1,0.78,NaN,2.834
2,1,3.04,NaN,3.2296
2,1,6.02,NaN,2.75
2,1,0.76,NaN,3.0899
2,1,0.96,NaN,2.8936
2,3,14,NaN,2.416
2,1,1.74,NaN,2.5737
2,1,7.02,NaN,3.0936
2,1,9.96,NaN,2.4735
2,1,7.16,NaN,2.5097
2,1,5.72,NaN,3.1495
2,1,6.5,NaN,2.6719
2,1,0.18,NaN,2.332
2,1,7.96,NaN,2.618
2,1,1.54,NaN,2.834
2,1,2.64,NaN,3.6577
2,1,10,NaN,3.1155
2,1,6.66,NaN,3.0098
2,1,4.7,NaN,3.414
2,1,0.8,NaN,2.7753
2,1,8.54,NaN,3.1976
2,1,0.56,NaN,3.4496
2,1,2.4,NaN,2.1757
2,2,0.009997501,0.00003333,3.0733
2,3,14,NaN,5.6714
2,1,1.9,NaN,14.139
2,3,14,NaN,2.4776
2,1,1.14,NaN,2.6518
2,1,0.84,NaN,3.452
2,1,2.34,NaN,2.3741
2,1,0.06,NaN,2.5757
2,1,1.82,NaN,3.5117
2,1,0.76,NaN,2.738
2,1,3.04,NaN,3.0737
2,0,1.74,4.35059823,2.8755
2,2,0.627843039,0.61553844,3.3896
2,0,0.1,0.71116221,4.7296
2,2,1.557610598,1.54281237,14.1987
2,0,0.04,0.42075792,2.9895
2,2,0.449887528,0.43555644,14.4526
2,2,0.402899275,0.38712795,2.9094
2,0,6.66,7.7252274,14.3183
2,2,1.60059985,1.58644134,14.4164
2,2,3.057235692,3.04299567,2.3916
,,,,14.2383
