RewardSize,AnimalResponse,ToneCloudDurSec,Pupil,runSpeed,LickwrtTrialStart
2,2,11.0142464406343,0.213289996179479,0,11.00219967
2,0,0.76,0.210115521892035,0.000228145710236021,1.45672098
2,2,0.565858535481439,0.222419760464605,0,0.55211145
2,0,1.98,0.191190611124651,0,2.28990432
2,2,0.388902774385653,0.235864163673206,0,0.37392927
2,0,0.46,0.235212929296985,0,1.13918607
2,2,0.413896525952855,0.365662761664618,0,0.40172649
2,0,6.28,0.747992627230609,-0.000456291420472044,6.83904936
2,0,1.06,0.466477156683895,0.000228145710236021,1.543179
2,2,0.481879530215642,0.305222326619787,0.000228145710236021,0.46612005
2,0,5.1,0.21553663295346,0,5.79502044
2,2,0.543864034102302,0.235639582104902,0,0.52651401
2,0,6.3,0.238319589672275,-0.000245695380254177,8.47028621999999
2,2,2.49537615646938,0.404228007546596,0,2.48148516
2,0,2.38,0.175248733533652,0,2.70066324
2,0,0.6,0.214913808640193,0,0.71852814
2,2,1.7995501128385,0.204260578632516,0.000228145710236021,1.78698795
2,0,1.64,0.18764786911022,0,2.09988999
2,2,2.23244188998243,0.283498202300569,0,2.21737824
2,2,2.68132966812936,0.273673593350866,0,2.66833314
2,0,2.12,0.181078994314011,0,2.6314035
2,2,1.92651837079988,0.25298575261976,0,1.91150883
2,2,5.78055486246233,0.220456242443922,0,5.76792315
2,0,7.42,0.170728586650371,0,7.93293996
2,2,2.24543864079737,0.226508003752173,0,2.2281105
2,2,1.72656835826227,0.258073046431041,0,1.71502848
2,0,6.76,0.206265260734998,0,7.27030623
1,0,1.18,0.276901181612151,0,1.17551577
1,3,14,0.297302212476016,0,NaN
1,0,2.52,0.211067315403763,0,3.42812382
1,0,5.34,0.213806795969,0.000245695380254177,6.64823511
1,0,3.92,0.312725555444933,0.00343973532354606,4.42149114
1,0,0.82,0.737692929375319,0.102893715316284,2.70536277
1,3,14,0.531130812148367,0.000228145710236021,NaN
1,0,0.96,0.370126078178068,0,2.07052626
1,1,8.1,0.293854205397667,0,NaN
1,1,7.76,0.218535643571674,0.000245695380254177,NaN
1,1,4.54,0.176885375083673,0.000245695380254177,NaN
1,1,2.12,0.205995401054325,0,NaN
1,1,7.82,0.185484419493048,0,NaN
1,3,14,0.166281106709494,0,NaN
1,1,1.86,0.297979836168088,-0.000228145710236021,NaN
1,1,8.78,0.263056638185206,0,NaN
1,1,3.24,0.21187371524414,-0.000245695380254177,NaN
1,1,8.98,0.179439405411693,0,NaN
1,1,6.08,0.14550001326165,-0.000245695380254177,NaN
1,1,0.38,0.133923221831235,0,NaN
1,1,0.34,0.186861163940343,0,NaN
1,3,14,0.210938550333388,-0.000228145710224494,NaN
1,1,4.84,0.254110286627142,0,NaN
1,1,7.78,0.184529899068364,0,NaN
1,0,1.34,0.277412927442591,0,2.52658065
1,0,3,0.184420637468099,0,4.99456716
1,0,1.58,0.211834653478025,0,1.74542544
1,1,10.4,0.188435826063893,0,NaN
1,0,4.88,0.129818194552928,0.000228145710236021,7.18258167
1,1,5.06,0.229469015580534,0,NaN
1,0,2.42,0.190467890215379,0,3.70599603
1,0,5.1,0.223357148855204,0.000228145710236021,5.50461615
1,2,0.053986503385155,0.540599451083379,0.0552814605571029,0.04156251
1,1,1.08,0.422030990913419,0,NaN
1,1,1.16,0.473094247712921,-0.000456291420472043,NaN
1,0,3.9,0.284586805272014,0.000228145710236021,5.32760052
1,3,14,0.248671086303738,0.000228145710236021,NaN
1,3,14,0.207501612330614,0.000228145710236021,NaN
1,1,0.4,0.175769072293673,0,NaN
1,1,2.94,0.198526523770014,0,NaN
1,3,14,0.203598124783995,0,NaN
1,3,14,0.262920369394103,0,NaN
1,1,9.94,0.27446538761037,0,NaN
1,1,8.24,0.188308138615364,0,NaN
1,1,1.3,0.209472515403321,0,NaN
1,1,0.86,0.184354030446146,0,NaN
1,1,0.98,0.177015718988862,0,NaN
1,1,1.78,0.213198274679823,0,NaN
1,1,5.46,0.226808062778731,0,NaN
1,1,3.82,0.213534159215592,0,NaN
1,1,1.16,0.206599959582751,0,NaN
1,3,14,0.147935894243084,0,NaN
1,0,0.04,0.260613850313961,0,2.68069857
1,2,2.01149712612837,0.42158328998687,0.000491390760508354,1.99693362
1,2,2.7873031747743,0.209733448845177,0,2.77095621
1,0,3.18,0.240050101045077,0,4.10395623
1,0,1.9,0.266432471948034,0,2.16391692
1,2,2.65033741618603,0.291092217760127,0,2.63713626
1,1,1.34,0.237758768598436,0.000228145710236021,NaN
1,3,14,0.77674592706883,0.0978745096911034,NaN
2,1,1.64,0.445674399082002,0,NaN
2,1,4.88,0.338398072613107,0,NaN
2,0,3.66,0.256543576279728,0,4.84054923
2,2,1.44663834070962,0.300978418659842,0,1.43598972
2,2,1.4896275934052,0.219304568192675,0,1.47505248
2,0,4.14,0.232180496811692,0,4.19894673
2,2,1.13871532140169,0.240441337350829,0,1.12448754
